"Region (English) / Région (anglais)","Region (French) / Région (français)","Scenario (English) / Scénario (anglais)","Scenario (French) / Scénario (français)","Economic Sector (English) / Secteur économique (anglais)","Economic Sector (French) / Secteur économique (français)","Subsector Level 1 (English) / Sous-secteur niveau 1 (anglais)","Subsector Level 1 (French) / Sous-secteur niveau 1 (français)","Subsector Level 2 (English) / Sous-secteur niveau 2 (anglais)","Subsector Level 2 (French) / Sous-secteur niveau 2 (français)","Subsector Level 3 (English) / Sous-secteur niveau 3 (anglais)","Subsector Level 3 (French) / Sous-secteur niveau 3 (français)","Units (English) / Unité (anglais)","Units (French) / Unité (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Transportation","Transports","Passenger Transport","Transport de passagers","Bus, Rail and Domestic Aviation","Transport par autobus, train et transport aérien intérieur","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Transportation","Transports","Passenger Transport","Transport de passagers","Cars, Light Trucks and Motorcycles","Voitures, camions légers et motocyclettes","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Cement","Ciment","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Chemicals and Fertilizers","Produits chimiques et engrais","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Lime and Gypsum","Chaux et gypse","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Buildings","Bâtiments","Residential","Résidentiel","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Agriculture","Agriculture","On Farm Fuel Use","Utilisation de combustibles à la ferme","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Waste and Others","Déchets et autres sources","Light Manufacturing, Construction and Forest Resources","Industrie légère, construction et ressources forestières","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Waste and Others","Déchets et autres sources","Waste","Déchets","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Northwest Territories","Territoires du Nord-Ouest","NIR 2022","RIN 2022","Total","Total","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.7","1.6","1.8","1.6","1.5","1.5","1.5","1.6","1.6","1.5","1.6","1.5","1.6","1.6","1.6","1.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Electricity","Électricité","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Transportation","Transports","Freight Transport","Transport de marchandises","Domestic Aviation and Marine","Transport aérien et transport maritime intérieurs","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Transportation","Transports","Freight Transport","Transport de marchandises","Heavy Duty Trucks, Rail","Camions lourds, trains","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Transportation","Transports","Other: Recreational, Commercial and Residential","Autres : à des fins récréatives, commerciales et résidentielles","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Transportation","Transports","Passenger Transport","Transport de passagers","Bus, Rail and Domestic Aviation","Transport par autobus, train et transport aérien intérieur","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Transportation","Transports","Passenger Transport","Transport de passagers","Cars, Light Trucks and Motorcycles","Voitures, camions légers et motocyclettes","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Cement","Ciment","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Chemicals and Fertilizers","Produits chimiques et engrais","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0.1","0.1","0.1","0","0.1","0.1","0.1","0.1","0","0","0.1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Buildings","Bâtiments","Residential","Résidentiel","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Waste and Others","Déchets et autres sources","Light Manufacturing, Construction and Forest Resources","Industrie légère, construction et ressources forestières","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Waste and Others","Déchets et autres sources","Waste","Déchets","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunavut","Nunavut","NIR 2022","RIN 2022","Total","Total","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.7","0.7","0.7","0.6","0.7","0.7","0.7","0.7","0.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Natural Gas Distribution","Distribution du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.3","1.3","1.2","1.2","1.2","1.2","1.1","1","1.1","1.2","1.2","1.2","1.2","1.1","1.2","1.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Petroleum Products","Raffinage du pétrole","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","21.8","21.9","22.4","21.1","21.1","21.9","20.4","20.7","20.8","19.7","19.5","19.8","18.2","18.1","19","17.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Frontier Oil Production","Production de pétrole des régions pionnières","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.7","2","2.1","1.9","1.6","1.7","1.6","1.4","1.6","1.7","1.5","1.7","1.8","1.9","1.9","1.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Heavy Oil Production","Production de pétrole lourd","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","14.4","14.2","14.1","13.4","12.5","12.6","12.3","12.7","13","13.4","13.1","10.9","10.3","9.5","8.7","6.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Light Oil Production","Production de pétrole léger","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","19","18.9","19.8","19.7","18.4","19.2","21.7","23.8","24.8","26.1","25.4","24","24.4","25.4","24.3","17.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Natural Gas Production and Processing","Production et traitement du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","65.8","67.7","69.2","68.2","64.8","63.6","67","64.7","63.1","62.6","61","56.8","53.9","56.3","55","44.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil Sands","Sables bitumineux","Bitumen In Situ","Bitume In Situ","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","12.2","14.2","15.7","18.4","19.8","22.7","24.5","29.2","30.9","35.2","38.1","37.8","41.5","43.6","42.9","41.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil Sands","Sables bitumineux","Bitumen Mining","Extraction du bitume","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","5.6","6.2","6.8","7.2","7.7","8.5","8.4","9.1","9.9","10.5","11.1","11.3","12.9","14.8","15.4","14.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil Sands","Sables bitumineux","Bitumen Upgrading","Valorisation du bitume","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","17.3","20.3","21.6","19.6","21.7","23","22.6","23.9","24.5","24.3","23.6","21","22.5","23.6","24.5","24.7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil and Natural Gas Transmission","Transport du pétrole et du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","12.2","11.3","10","9.2","8.1","7.3","7.5","7.6","9","9.9","10.2","9.9","9.8","10.6","10.8","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Electricity","Électricité","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","117.5","111.6","119.6","108.8","93.7","94.6","86.6","83.3","79.7","76.3","79.7","74.3","72.6","62.8","61.8","56.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Transportation","Transports","Freight Transport","Transport de marchandises","Domestic Aviation and Marine","Transport aérien et transport maritime intérieurs","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","5.3","5.2","5","4.8","4.6","4.7","4.6","4.7","4.7","4.6","4.5","4.6","4.8","5.1","5.6","4.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Transportation","Transports","Freight Transport","Transport de marchandises","Heavy Duty Trucks, Rail","Camions lourds, trains","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","54.4","56.1","59","61.1","58.7","62.7","66.4","68.6","70.1","69","67.2","65.8","69.5","72.1","72","65.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Transportation","Transports","Other: Recreational, Commercial and Residential","Autres : à des fins récréatives, commerciales et résidentielles","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","10","9.9","10.1","9.9","9.7","10.1","8.4","8","8.2","8.5","8.7","8.6","9.1","9.3","9.2","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Transportation","Transports","Passenger Transport","Transport de passagers","Bus, Rail and Domestic Aviation","Transport par autobus, train et transport aérien intérieur","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","8.2","8.3","8.6","8.5","7.8","7.8","8","8.9","9.1","8.8","8.8","8.7","9.1","9.8","9.7","6.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Transportation","Transports","Passenger Transport","Transport de passagers","Cars, Light Trucks and Motorcycles","Voitures, camions légers et motocyclettes","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","82.2","81.6","81.7","80.2","80.6","81.9","80.9","80.4","81.9","80.6","82.9","85.9","86.4","87.7","89","73.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Cement","Ciment","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","13.1","13.5","12.8","12","9.9","10.1","10.4","10.6","9.9","10","10.2","10.1","11.1","11.2","11.2","9.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Chemicals and Fertilizers","Produits chimiques et engrais","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","24.5","24.3","23.6","24.3","20.2","22.1","24.2","25","25.5","26.1","26.1","24.4","21.6","21.4","21.6","21.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","16.2","17.2","17.5","16.9","12.7","14.2","16.6","16.4","14.9","16.2","14.5","15.1","14.8","15.7","14.7","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Lime and Gypsum","Chaux et gypse","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","3.5","3.3","3.4","3.2","2.4","2.6","2.7","2.7","2.4","2.6","2.5","2.5","2.6","2.4","2.3","2.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","6.7","7.1","7.7","8.4","7.9","7.9","8.1","8.5","8.1","7.9","7.7","7.1","7.8","9.2","8.8","9.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","9","7.9","8.1","6.7","6.6","6.6","7","6.7","6.8","6.6","6.4","6.6","6.9","7.8","8.2","7.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","14.3","13.7","12.9","13","11.7","11","11.3","10.3","11.1","10","10.3","10.6","10.8","9.8","10.6","10.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","40","37","38.3","38.7","38.8","38.2","40.4","42.4","41.7","42.3","41.8","43.3","45","47.4","49.4","47.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Buildings","Bâtiments","Residential","Résidentiel","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","43.6","41.5","46","45.4","43.8","41.3","44.3","40.9","42.6","42.5","42.1","39","41.6","45.6","42.6","39.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Agriculture","Agriculture","Animal Production","Élevage","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","42.5","41.3","39.9","38.8","36.8","35.6","34.8","34.9","34.9","34.5","34.4","34.8","34.8","34.7","34.6","34.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Agriculture","Agriculture","Crop Production","Cultures","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","11.7","12.1","13","13.6","13.7","14","14.5","16.2","17.9","16.8","18","18.3","17.3","18.5","18.7","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Agriculture","Agriculture","On Farm Fuel Use","Utilisation de combustibles à la ferme","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","12.3","11.6","12.1","11.8","11.4","12.3","13.1","12.6","12.6","12.5","12.3","11.9","12.3","13.1","13.4","13.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Waste and Others","Déchets et autres sources","Coal Production","Production de charbon","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","2.3","2.3","2.6","2.5","2.4","2.8","2.7","2.7","2.9","2.4","2.3","2.4","2.2","2.5","2.5","2.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Waste and Others","Déchets et autres sources","Light Manufacturing, Construction and Forest Resources","Industrie légère, construction et ressources forestières","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","23.9","22.5","23.6","22.6","20.1","21.7","22.5","21.9","22.3","21","21.3","20.8","21.5","21.9","21.8","20.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Waste and Others","Déchets et autres sources","Waste","Déchets","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","28.7","28.7","28.3","27.8","27","26.1","26.1","26","26.2","25.9","26.2","26.3","26.7","27","27.2","27.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Canada","Canada","NIR 2022","RIN 2022","Total","Total","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","741.2","734.6","756.8","739.1","697.7","709.7","720.8","725.6","732.2","729.6","732.5","715.1","725","740","738.3","672.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
