"Region (English) / Région (anglais)","Region (French) / Région (français)","Scenario (English) / Scénario (anglais)","Scenario (French) / Scénario (français)","Economic Sector (English) / Secteur économique (anglais)","Economic Sector (French) / Secteur économique (français)","Subsector Level 1 (English) / Sous-secteur niveau 1 (anglais)","Subsector Level 1 (French) / Sous-secteur niveau 1 (français)","Subsector Level 2 (English) / Sous-secteur niveau 2 (anglais)","Subsector Level 2 (French) / Sous-secteur niveau 2 (français)","Subsector Level 3 (English) / Sous-secteur niveau 3 (anglais)","Subsector Level 3 (French) / Sous-secteur niveau 3 (français)","Units (English) / Unité (anglais)","Units (French) / Unité (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040"
"Ontario","Ontario","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","15","15.8","15.6","15.3","11.4","13.1","14.3","14.5","12.6","13.8","13.1","13.9","13.9","14.4","13.5","11.5","13.1","12.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Lime and Gypsum","Chaux et gypse","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.7","1.7","1.7","1.6","1.1","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.3","1.2","1.1","1","1.1","1.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1","0.9","0.9","1","1","0.9","1.1","1.2","1.2","1.2","1.2","1.4","1.5","1.3","1.4","1.5","1.7","1.7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","2","1.8","1.8","1.6","1.6","1.6","2.2","1.8","2","1.8","1.6","1.6","1.5","1.6","1.7","1.5","1.6","1.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.9","2.2","1.5","1.4","0.9","0.9","0.9","1","0.9","0.8","0.7","0.9","1","0.9","1.1","0.8","0.7","0.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","15.2","13.4","14.1","14.5","14","13.7","14.5","14.2","15.4","16.8","16.2","19.2","19.5","20.6","21","19.4","17.2","17.7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Buildings","Bâtiments","Residential","Résidentiel","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","20.8","19.2","21.1","21.3","19.9","19.2","20.8","18.7","20.7","20.8","21.1","18.4","18.5","19.5","20.1","18.7","18.3","18.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Agriculture","Agriculture","Animal Production","Élevage","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","7.5","7.2","7","6.9","6.5","6.5","6.4","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.4","6.4","6.4","6.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Agriculture","Agriculture","Crop Production","Cultures","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.9","2.2","2.1","1.9","2.3","2.5","2.5","2.4","2.7","2.4","2.4","2.6","2.7","2.5","2.6","3.3","3.1","3.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Agriculture","Agriculture","On Farm Fuel Use","Utilisation de combustibles à la ferme","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.6","1.6","1.7","1.7","1.5","1.6","2.2","2.2","2.3","2","2.2","2.4","2.4","2.5","2.7","2.4","2.6","2.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Waste and Others","Déchets et autres sources","Light Manufacturing, Construction and Forest Resources","Industrie légère, construction et ressources forestières","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","11.5","10.6","10.7","10.2","8.6","8.8","9.2","9","8.9","8.3","9.1","9","9.6","10","9.8","8.6","8.8","9.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Waste and Others","Déchets et autres sources","Waste","Déchets","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","7.9","7.8","7.6","7.8","7.4","7","7.2","7.2","7.5","7.4","7.2","7.2","7","7","7.1","7.2","7.4","7.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ontario","Ontario","NIR 2024","RIN 2024","Total","Total","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","203","194.9","198.8","190.7","165.5","173.2","171.4","167.3","168.4","164.8","163.7","163.4","158.4","164.2","165.5","148.5","151.1","157","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Natural Gas Distribution","Distribution du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Petroleum Products","Raffinage du pétrole","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","0","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Light Oil Production","Production de pétrole léger","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.3","0.4","0.4","0.4","0.5","0.5","0.6","0.7","0.8","0.8","0.7","0.7","0.7","0.7","0.7","0.6","0.6","0.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil and Natural Gas Transmission","Transport du pétrole et du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.6","0.5","0.4","0.3","0.2","0","0.1","0","0.1","0.3","0.3","0.3","0.2","0.3","0.3","0.2","0.3","0.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Electricity","Électricité","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.4","0.4","0.5","0.4","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0","0.1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Transportation","Transports","Freight Transport","Transport de marchandises","Domestic Aviation and Marine","Transport aérien et transport maritime intérieurs","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Transportation","Transports","Freight Transport","Transport de marchandises","Heavy Duty Trucks, Rail","Camions lourds, trains","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.7","1.7","2","2.1","2","2","2.2","2.2","2","2.1","1.8","1.8","1.9","2","1.9","1.7","1.8","1.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Transportation","Transports","Other: Recreational, Commercial and Residential","Autres : à des fins récréatives, commerciales et résidentielles","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.7","0.7","0.7","0.6","0.6","0.7","0.9","1","1.1","1.1","1.1","1","1","1","1","0.9","0.9","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Bus, Rail and Domestic Aviation","Transport par autobus, train et transport aérien intérieur","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.5","0.5","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.3","0.3","0.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Cars, Light Trucks and Motorcycles","Voitures, camions légers et motocyclettes","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","2.6","2.8","2.9","2.5","2.5","2.7","2.4","3","3","3","2.9","3","2.9","3.2","3.2","2.8","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Cement","Ciment","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Chemicals and Fertilizers","Produits chimiques et engrais","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.9","0.8","0.8","0.9","0.8","0.8","0.9","0.8","1","0.8","0.9","1","0.8","0.9","0.9","0.8","0.8","0.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0.1","0.1","0.1","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Lime and Gypsum","Chaux et gypse","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.2","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.3","0.3","0.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0","0","0.1","0","0.1","0","0","0.1","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0","0","0.1","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.6","1.4","1.5","1.6","1.5","1.6","1.5","1.4","1.6","1.7","1.6","1.6","1.7","1.8","1.8","1.8","1.7","1.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Buildings","Bâtiments","Residential","Résidentiel","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.1","1","1.1","1.2","1.1","1","1.1","1.1","1.3","1.3","1.1","1.1","1.2","1.3","1.3","1.3","1.2","1.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Agriculture","Agriculture","Animal Production","Élevage","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","4.6","4.6","4.2","4.2","3.9","3.8","3.6","3.6","3.6","3.5","3.5","3.5","3.5","3.6","3.5","3.5","3.4","3.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Agriculture","Agriculture","Crop Production","Cultures","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.4","1.9","1.8","2","1.8","1.9","1.7","2","2.3","2","2.3","2.3","2.4","2.4","2.4","2.8","2.4","2.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Agriculture","Agriculture","On Farm Fuel Use","Utilisation de combustibles à la ferme","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1","0.9","0.9","1","0.7","0.7","0.8","1.1","1","1.1","1.1","1.2","1.4","1.5","1.4","1.4","1.3","1.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Waste and Others","Déchets et autres sources","Light Manufacturing, Construction and Forest Resources","Industrie légère, construction et ressources forestières","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1","1","1.1","1.1","0.9","0.9","0.9","1.1","1","1","1.2","1.3","1.4","1.1","1.1","1.1","1","1.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Waste and Others","Déchets et autres sources","Waste","Déchets","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.3","1.3","1.3","1.3","1.4","1.4","1.4","1.4","1.4","1.3","1.3","1.4","1.4","1.4","1.4","1.2","1.2","1.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Manitoba","Manitoba","NIR 2024","RIN 2024","Total","Total","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","20.6","21","21.3","21.2","19.7","19.3","19.3","20.7","21.2","21.1","20.8","21.1","21.6","22.4","22.1","21.1","20.6","21.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Natural Gas Distribution","Distribution du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.3","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Petroleum Products","Raffinage du pétrole","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.9","0.9","0.9","0.9","1","1.2","1.1","1.2","1.2","1.2","1.3","1.4","1.4","1.2","1.3","1.1","1.2","1.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Heavy Oil Production","Production de pétrole lourd","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","22","21.6","20.5","19","16.6","15.9","15.9","16.4","17.1","17.5","17","14.6","15.2","14.8","13.7","11","12.6","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Light Oil Production","Production de pétrole léger","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","6.4","6.4","7","7.2","7.1","7.7","8.4","9.9","10.3","12.9","13.5","11.9","14","14.4","13.9","9.6","7.2","6.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Natural Gas Production and Processing","Production et traitement du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","3.2","3.3","3.2","3.1","3","2.7","2.6","2.5","2.4","2.4","2.3","2.2","2.2","2.1","2","1.3","1.2","1.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil Sands","Sables bitumineux","Bitumen Upgrading","Valorisation du bitume","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","2.6","2.7","2.6","2.1","2.1","1.8","2","2.2","2.2","2.2","2.2","2.2","2.1","2.3","2.3","2.1","2.4","2.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil and Natural Gas Transmission","Transport du pétrole et du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","2.4","2","2.7","3","2.7","2.6","2.5","2.6","2.6","2.9","2.6","1.8","1.8","2","1.9","1.6","2","2.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Electricity","Électricité","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","14.3","13.9","14.4","14.1","15","15","14.2","14.7","13.6","13.8","14.8","14.7","15.3","14.9","14.8","12.6","14.7","13.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Transportation","Transports","Freight Transport","Transport de marchandises","Domestic Aviation and Marine","Transport aérien et transport maritime intérieurs","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Transportation","Transports","Freight Transport","Transport de marchandises","Heavy Duty Trucks, Rail","Camions lourds, trains","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","2.8","3","3.4","3.6","3.9","3.9","3.9","4","4.4","4.2","4.1","3.6","3.8","4","3.9","3.6","3.7","3.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Transportation","Transports","Other: Recreational, Commercial and Residential","Autres : à des fins récréatives, commerciales et résidentielles","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1","1.1","1.1","1.1","1.1","1.1","1.2","1.4","1.5","1.4","1.6","1.6","1.6","1.5","1.5","1.4","1.4","1.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Bus, Rail and Domestic Aviation","Transport par autobus, train et transport aérien intérieur","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.3","0.4","0.3","0.3","0.2","0.2","0.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Cars, Light Trucks and Motorcycles","Voitures, camions légers et motocyclettes","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","2.8","3.2","3.3","3.7","4","4.2","3.4","3.9","4.2","3.8","4","4.1","4.2","4.1","4.1","3.6","3.7","3.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Cement","Ciment","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Chemicals and Fertilizers","Produits chimiques et engrais","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.6","0.6","0.6","0.5","0.5","0.6","0.7","0.7","0.8","0.6","0.6","0.6","0.6","0.9","0.9","1.1","0.8","0.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.2","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Lime and Gypsum","Chaux et gypse","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.4","1.7","1.9","2.3","1.4","1.7","2.5","2.4","2.1","2.1","2.1","2","2.5","3","2.5","2.4","3","3.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0.2","0","0.1","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Saskatchewan","Saskatchewan","NIR 2024","RIN 2024","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","1.7","1.5","1.4","1.5","1.8","1.6","1.5","1.3","1.4","1.4","1.4","1.6","1.8","1.9","2","1.9","1.8","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
